address,business_description,company_name,decision,maps_url,phone,reason,source_url,status,url
1500011 東京都渋谷区東１丁目２番２０号,東京都渋谷区に本社を置く、1985年設立（創業1966年・東証プライム上場）のグローバルなITアウトソーシング・リーディングカンパニーです。「People & Technology」をグループの原点とし、企業のコスト削減と売上拡大をデジタル変革（DX）によって同時に支援しています。主な事業内容は、アジア最大級の規模を誇るコンタクトセンターサービスをはじめ、デジタルマーケティング支援、ECワンストップサービス、およびビジネス・プロセス・アウトソーシング（BPO）など多岐にわたります。最大の特徴は、世界30カ国以上に広がる拠点網と、独自のIT技術に専門性の高い「人」の力を融合させたオペレーショナル・エクセレンスにあります。SNSやチャット、AIを活用した最新のカスタマー・エクスペリエンス（CX）設計に強みを持ち、官公庁からグローバルブランドまで幅広いクライアントのビジネスプロセスを最適化。多様なデータの活用を通じて、複雑化する社会において新たな価値創造を支え続ける、包括的なBPO・DXソリューションプロバイダーです。 所在地: 東京都品川区 所在地: 東京都北区 所在地: 東京都文京区 所在地: 東京都港区 所在地: 東京都千代田区,トランス・コスモス株式会社,keep,,050-1751-7700,,https://db.grip.website/detail/3011001041302,MEOハブ候補,https://www.trans-cosmos.co.jp:443/
1600023 東京都新宿区西新宿２丁目１番１号,"キャリアリンク株式会社は、東京都新宿区に本社を置く、東証プライム市場上場の人材サービス企業です。主に官公庁や大手企業向けに、業務請負（BPO）や人材派遣・紹介事業を展開しています。 主に以下の事業領域を展開しています。 1. 事務系人材サービス事業 • BPO（ビジネス・プロセス・アウトソーシング）関連事業 官公庁の公共事業（給付金業務、年金関連など）や、民間企業の事務センターなどにおいて、業務の企画・構築から運用までを丸ごと請け負う事業です。同社の主力事業となっています。 • CRM（カスタマー・リレーションシップ・マネジメント）関連事業 コールセンターやコンタクトセンター（テレマーケティング業務）に向けた人材派遣や、センターの運用請負を行っています。 • 一般事務事業部門 一般事務やデータ入力、受付などのオフィスワーク向けに、企業へ人材を派遣・紹介しています。 2. 製造系人材サービス事業 グループ会社（キャリアリンクファクトリー株式会社など）を通じて、食品加工・製造業・物流業向けなどに、製造・軽作業スタッフの人材派遣や業務請負を行っています。 【同社の強み】 「短納期での大量採用（例えば1カ月で1,000名規模のスタッフ確保など）」を得意としており、大型プロジェクトの企画提案から現場の業務運用、スタッフの人材育成・フォローまでをワンストップで提供できる体制に大きな特徴があります。 所在地: 東京都中央区 所在地: 東京都中野区 所在地: 東京都千代田区 所在地: 東京都 所在地: 東京都国分寺市",キャリアリンク株式会社,keep,,03-6311-7321,,https://db.grip.website/detail/2011101023151,MEOハブ候補,https://www.careerlink.co.jp/company/about
1540004 東京都世田谷区太子堂４丁目１番１号,ブリッジインターナショナル株式会社は、2002年1月に設立されたB2B企業向け営業・マーケティング支援会社である。2025年10月に持株会社体制へ移行し、現在はブリッジインターナショナルグループ株式会社として事業を展開する。インサイドセールス・マーケティング・カスタマーサクセスのアウトソーシング、レベニュープロセス設計・コンサルティング、AIや最先端テクノロジーを活用した収益化プロセスの最適化支援などを提供する。グループにはアイ・ラーニング、ブリッジプロセステクノロジーなどが含まれ、2018年10月に東証マザーズ（現グロース市場）へ上場。 所在地: 東京都品川区 所在地: 東京都港区 所在地: 東京都中野区 所在地: 東京都大田区 所在地: 東京都,ブリッジインターナショナルグループ株式会社,keep,,03-5787-3030,,https://db.grip.website/detail/2010901015622,MEOハブ候補,https://bridge-g.com/
1600023 東京都,中堅・大手企業向けデータベースマーケティング支援事業 所在地: 東京都千代田区 所在地: 東京都新宿区 所在地: 東京都渋谷区 所在地: 東京都新宿区 所在地: 東京都,ユーソナー株式会社,keep,,03-5388-7000,,https://db.grip.website/detail/3011101023530,MEOハブ候補,https://usonar.co.jp/
9200357 石川県金沢市佐奇森町ル６番地,印刷関連製品の製造、販売 ①ＤＭＤＰサービス ②ＩＰＤＰサービス ③企画・商印サービス ④ＢＦ複合サービス 所在地: 石川県金沢市泉２丁目２番１３号 所在地: 石川県金沢市 所在地: 石川県金沢市 所在地: 石川県金沢市 所在地: 石川県金沢市,福島印刷株式会社,keep,,076-267-5111,,https://db.grip.website/detail/2220001005602,MEOハブ候補,https://www.fuku.co.jp/
5300057 大阪府,企業の営業活動やマーケティングを支援するBPO（ビジネス・プロセス・アウトソーシング）事業を展開しています。コンタクトセンター（コールセンター）の運営を軸に、新規顧客の獲得、カスタマーサポート、さらにはWebマーケティングやデジタル広告の運用までをワンストップで提供。豊富なオペレーターの人材育成力と、データ分析に基づいた効果的なプロモーション戦略に強みを持ち、通信、金融、インフラなど多様な業界の企業の売上拡大に貢献しています。 所在地: 大阪府大阪市北区 所在地: 大阪府大阪市北区 所在地: 大阪府大阪市北区 所在地: 大阪府 所在地: 大阪府大阪市中央区,株式会社ダイレクトマーケティングミックス,keep,,代表者名 代表執行役社長ＣＥＯ 植 原 大 祐,,https://db.grip.website/detail/7010001185502,MEOハブ候補,https://dmix.co.jp/
1000003 東京都千代田区一ツ橋一丁目1番1号 パレスサイドビル,（1） 新聞の発行および出版事業ならびに電子出版事業 （2） 就職情報の提供ならびに求人・採用活動に関するコンサルティング （3） 宣伝、広告、ピーアール業 （4） 労働者派遣事業 （5） 有料職業紹介事業 （6） セミナー、講演会、講習会等、催事の企画、立案、実施 （7） 人材育成、企業経営のコンサルティング、教育、研修業務 （8） 高校、大学、専門学校等への進学に関する情報の提供ならびに生徒、学生の募集に関するコンサルティング （9） 各種検定試験の運営および運営の請負 （10） ブライダル情報の提供 （11） 農業に関する情報の提供 （12） 医療機関に関する情報の提供 （13） 旅行業 （14） 文化、研究、芸術、スポーツなどの国際交流事業の企画、立案、実施 （15） 生命保険の募集に関する業務および損害保険代理店業 （16） 各種教室の経営および通信教育事業ならびに関連商品の販売 （17） 通訳翻訳業務 （18） コンピュータシステムの開発、運用および保守業務 （19） コンピュータソフトウエア、ゲームソフトウエア、映像ソフトウエア、音楽ソフトウエアの企画、開発、制作、販売および輸出入業務 （20） 電話その他の通信回線およびコンピュータシステムを利用した情報処理、情報提供サービス （21） コンタクトセンターの運営および管理 （22） ビジネスプロセスアウトソーシング業務 （23） 給与の支払いに関するシステムの開発提供およびアウトソーシング業務 （24） コンピュータ処理による地図・位置空間情報の制作業務 （25） 日用品雑貨、衣料品・衣料雑貨、アクセサリー、ぬいぐるみ、飲食品などの企画、販売、輸出入およびその仲 （26） 飲食店の経営、管理、運営およびその企画、開発 （27） 宿泊施設の経営、管理、運営およびその企画 （28） 通信販売業務 （29） 農産物、加工品等の販売 （30） ふるさと納税に関する情報の提供、企画およびコンサルティング （31） オークションの企画および運営 （32） 刊行物および商品の発送代行 （33） 著作権、商標権など知的財産の管理、運用、販売および仲介業務 （34） 各種債権の売買 （35） M&A に関する仲介、斡旋、コンサルティングおよびアドバイザリー業務 （36） 不動産の賃貸、売買、仲介、斡旋および管理業務 （37） ビルの経営、管理、運営およびその企画、開発 （38） 介護福祉事業 （39） 医薬品、医薬部外品、化粧品、医療器具、健康食品およびこれに関連する商品の製造販売ならびに輸出入業務 （40） 前各号に付帯する一切の事業 所在地: 東京都品川区 所在地: 東京都豊島区 所在地: 東京都千代田区 所在地: 東京都新宿区 所在地: 東京都福生市,株式会社マイナビ,keep,,03-6267-4000,,https://db.grip.website/detail/3010001029968,MEOハブ候補,https://www.mynavi.jp/
7850036 高知県須崎市緑町１番１２号,ふるさと納税運営事業 EC事業 キャラクター事業 SNS事業 地方創生事業 所在地: 高知県 所在地: 高知県高知市 所在地: 高知県南国市 所在地: 高知県高知市 所在地: 高知県高知市,株式会社パンクチュアル,keep,,代表者名 守時 健,,https://db.grip.website/detail/6490001009507,MEOハブ候補,https://punctual.co.jp/
1010024 東京都,ダイレクトマーケティングの企画、CRM支援、データ分析等を行う企業。 所在地: 東京都中野区 所在地: 東京都中野区 所在地: 東京都中央区 所在地: 東京都文京区 所在地: 東京都中央区,株式会社フュージョン,keep,,代表者名 井上 義浩,,https://db.grip.website/detail/1010001074149,MEOハブ候補,https://www.fusion.co.jp/
4600015 愛知県名古屋市中区大井町４番１９号,ITソリューションの提供、システム開発、Webサイト制作、DX推進支援、クラウドサービス導入支援、ITコンサルティングなど、企業のデジタルトランスフォーメーションを包括的に支援する。 所在地: 愛知県名古屋市中区 所在地: 愛知県名古屋市中村区 所在地: 愛知県江南市 所在地: 愛知県みよし市 所在地: 愛知県名古屋市中村区,株式会社ネクステップ・ソリューションズ,keep,,03-6803-5640,,https://db.grip.website/detail/9180001051438,MEOハブ候補,https://www.nextep.jp/
