address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,recurring_evidence,source_url,status,url
,"【サイト制作から集客まで、一貫したサポート】
WEB歴9年、デザイン・制作・運用など合計600以上の実務経験あり。
一貫して事業発展をサポートいたします！

シッポコードが提供するのは、ただ見た目が美しいだけのWEBサイトではありません。デザインや機能性にこだわるのはもちろん、その先にある「事業の発展」までを見据えています。

個人事業主だからこその早い意思決定と柔軟な対応で、事業成長に伴走します。

” 猫のようにしなやかに ”
” 頭のテッペンからシッポの先まで行き届く仕事をすること ”

この理念を掲げ、お客様の事業成長を後押しします。",シッポコード,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/shippo-code,MEOハブ候補,https://shippo-code.com/
,WELUCA（ウェルカ）は、大阪府富田林市を拠点に全国対応するホームページ制作事業です。Webに詳しくない方にも分かりやすく、相談内容の整理から制作、公開後の保守・更新まで一貫して支援します。WordPressサイト、SEO・MEO、サイトリニューアル、ECサイトの構築・運用にも対応しています。,WELUCA（ウェルカ）,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/weluca,MEOハブ候補,https://www.weluca.jp/works/
,株式会社キャスタルは、大阪を拠点に全国対応するソフトウェア開発会社です。業務システムやコーポレートサイト・採用サイト・LPなどのWeb制作、AI導入・業務自動化を、課題整理から企画、設計、開発、運用まで一貫して支援。クラウド、XR・3D、LINEミニアプリにも対応し、中小企業の現場で長く使われる仕組みづくりに伴走します。,株式会社キャスタル,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/kyastal,MEOハブ候補,https://kyastal.com/works
,飲食店・カフェ・美容室など、実店舗のホームページをメインに制作しています。既製テンプレートに文字を流し込む作り方はせず、業種・客層・価格帯を伺ってから一から設計します。業種別に6種類の様式を用意しており、お店の空気に合うものからご提案します。公開後の更新は回数の制限なく月額に含めており、作ったまま古くなる状態を作りません。小規模な店舗さまのご相談も歓迎しております。,YK Lab Works,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/yklabworks,MEOハブ候補,https://yklabworks.com/
,ホームページ制作に加えて、SEO対策、AI検索対応、記事の企画と制作、SNS運用、アクセス解析までを複合的に提供しています。Web担当者を採用する代わりに、代表の後藤本人を月単位で使える契約です。作って納品したら終わりではなく、公開後も同じ担当者が毎月優先順位を変えながら手を入れ続けます。月10万円から、毎月10社限定です。,合同会社 Initiate Global Strategies,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/i-gs,MEOハブ候補,https://i-gs.co.jp/services/goto-kashimasu/
,Sakrea（サクレア）は、神奈川県大和市を拠点とする地域密着型のWebサイト制作事業者です。ご相談から設計・デザイン・構築、公開まで代表が一貫して担当。担当者が変わることなく、お客様の想いや課題を共有しながら進められます。制作して終わりではなく、アクセス解析をもとにした改善提案など、公開後の継続的な運用支援も得意としています。,Sakrea,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/sakrea,MEOハブ候補,https://sakrea.jp/works/
,EngageLabは、企業の顧客エンゲージメント向上を支援するグローバルプラットフォームです。AppPushとWebPushを中心に、メール、SMS、WhatsAppなど複数のチャネルに対応。高い到達率、柔軟なAPI、ユーザー行動に基づく配信と効果分析により、Webサイトやアプリの再訪促進、顧客維持、コンバージョン向上を支援します。,Aurora Mobile 株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/engagelab,MEOハブ候補,https://www.engagelab.com/ja_JP/customer-cases
,"サブスク型ホームページ制作サービス「リーズナブルHP」は、個人事業主・小規模法人向けに、初期費用0円・月額7,980円(税別)で提供しています。

ページ構成や掲載内容の提案から文章作成まで対応しているため、「何を載せればよいか分からない」という方でも安心してお任せいただけます。
集客や問い合わせにつながるサイト設計やSEO内部対策も標準対応。
公開後は保守管理に加え、テキスト修正や画像差し替えなどの軽微な更新にも対応しており、制作から運用までまとめて任せられます。
セミオーダー形式を採用することで、品質を保ちながら導入しやすい価格を実現しています。",リーズナブルHP,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/reasonable-hp,MEOハブ候補,https://www.reasonable-hp.com/sample/
,"合同会社傑作（Kessaku LLC.）代表の有田です。

弊社は2024年1月に東京都渋谷区で設立したクリエイティブカンパニーです。
「つくって、誰かの役に立つ」をひたすらやり続ける会社として、常に挑戦し、止まらず、攻め続ける姿勢を大切にしています。

私たちが目指すのは、目先の「益」よりも「長い御縁」です。お客様の課題解決に向けて、今日も本気に楽しくモノづくりに向き合っています。

「We Only Make Master piece」をスローガンに掲げ、ブランドの立ち上げから、WEBサイト、グラフィックデザインまで、お客様の「最高傑作」をともに創り上げるパートナーとして伴走いたします。",合同会社傑作,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/kessaku,MEOハブ候補,https://lit.link/kessaku
,"クリエイトアコードは、ホームページの改善提案・修正・運用を強みに、札幌を拠点に活動する個人事業主です。
マーケティング・利用者目線で事業・サービスの情報を整理することを得意とし、サイト設計からWordPressでの制作・改修、公開後の運用まで一貫して対応。ホームページ制作・改善・保守管理・運用、SEO・Webマーケティング支援を中心に、「自ら考え、動きたい」という方を実務面から支える並走型サポートサービスを提供しています。
各サービスの詳細は、クリエイトアコードのホームページをご確認ください。",クリエイトアコード,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/create-accord,MEOハブ候補,https://create-accord.com/work-case/
