company_name,url,address,phone,maps_url,status,hub_type,why_fit,evidence_urls,confidence,review_status,last_verified_at
合同会社ＰＬＵＳ　ＵＬＴＲＡ,https://plus-ultra.tech,2510042 神奈川県藤沢市辻堂新町１丁目１番２号クロスポイント湘南５Ｆ,代表者名 川合 慎也,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://plus-ultra.tech,B,VERIFIED,2026-08-26
アイディル株式会社,https://www.aidyl.co.jp,2430016 神奈川県厚木市田村町２番２０号三橋ビルアネックス３階,代表者名 代表取締役／田代 剛章,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.aidyl.co.jp,B,VERIFIED,2026-08-26
株式会社プルーセル,https://proosel.co.jp,1120012 東京都,-,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://proosel.co.jp,B,VERIFIED,2026-08-26
株式会社ＨＮ　ｃｏｍｍｕｎｉｃａｔｉｏｎｓ,https://www.hncom1129x.com,1710022 東京都,代表者名 代表取締役 中川 晴彦,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.hncom1129x.com,B,VERIFIED,2026-08-26
株式会社リバティア,https://liberteer.tech,1030023 東京都,代表者名 代表取締役 西川 慶,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://liberteer.tech,B,VERIFIED,2026-08-26
株式会社センスメイキング,https://sensemaking.jp,1010051 東京都千代田区神田神保町２丁目１４番地,代表者名 花井 裕正,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://sensemaking.jp,B,VERIFIED,2026-08-26
株式会社パスゲート,https://pass-gate.co.jp/company,5300015 大阪府大阪市北区中崎西２丁目１番１号,代表者名 代表取締役 梅原詩騎,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://pass-gate.co.jp/company,B,VERIFIED,2026-08-26
エンＳＸ株式会社,https://sales.en-sx.com,1600023 東京都新宿区西新宿６丁目５番１号,-,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://sales.en-sx.com,B,VERIFIED,2026-08-26
株式会社コネクトユー,https://www.connect-you.jp,3280024 栃木県栃木市樋ノ口町４３番地５,代表者名 代表取締役社長 高田 光浩,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.connect-you.jp,B,VERIFIED,2026-08-26
マジメワークス株式会社,https://majimeworks.co.jp,1030004 東京都,代表者名 部田光一,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://majimeworks.co.jp,B,VERIFIED,2026-08-26
株式会社マニフェスト,http://manifest.co.jp/company,4600002 愛知県名古屋市中区丸の内３丁目１８番１号,052-253-8977,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,http://manifest.co.jp/company,B,VERIFIED,2026-08-26
株式会社セレブリックス,https://www.cerebrix.jp,1350063 東京都江東区有明３丁目７番１８号,03-6845-7860,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.cerebrix.jp,B,VERIFIED,2026-08-26
株式会社エグゼクション,https://www.exection.co.jp,1080023 東京都,代表者名 代表取締役 佐藤 成信,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.exection.co.jp,B,VERIFIED,2026-08-26
株式会社アップルート,http://uproot.jp/company.html,6660024 兵庫県川西市久代２丁目５－１０,072-703-1110,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,http://uproot.jp/company.html,B,VERIFIED,2026-08-26
株式会社リベラス,https://www.liberrace.com,1580081 東京都,代表者名 代表取締役 中村 太一,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.liberrace.com,B,VERIFIED,2026-08-26
株式会社エニシング,https://www.advance-pcs.com/company,2520303 神奈川県相模原市南区相模大野６丁目１５－１,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.advance-pcs.com/company,B,VERIFIED,2026-08-26
株式会社アッセ,https://asse.ne.jp,1040033 東京都中央区新川１丁目２２番１３号,03-3537-3615,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://asse.ne.jp,B,VERIFIED,2026-08-26
スタッフマーケティング株式会社,http://staff-mk.co.jp/profile.html,1040031 東京都中央区京橋２丁目５番１７号,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,http://staff-mk.co.jp/profile.html,B,VERIFIED,2026-08-26
株式会社グランリミット,https://gr-limit.com/company,6650804 兵庫県宝塚市雲雀丘山手２丁目１３番２号,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://gr-limit.com/company,B,VERIFIED,2026-08-26
株式会社ＭＡＹＡ　ＳＴＡＦＦＩＮＧ,https://mayastaffing.com,1600023 東京都,-,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://mayastaffing.com,B,VERIFIED,2026-08-26
株式会社ＣＯＮＳＣＩＥＮＣＥ,https://www.conscience-co.jp,1060041 東京都港区麻布台１丁目７番３号ＶＯＲＴ神谷町ＩＩ８階,-,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.conscience-co.jp,B,VERIFIED,2026-08-26
ＬＳＩＧＮ　ＰＯＳＴ株式会社,https://lsign-post.com,1040045 東京都中央区築地２丁目２番７号築地フロント２階,代表者名 佐藤 大夢,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://lsign-post.com,B,VERIFIED,2026-08-26
株式会社ホーカム,https://www.hoocome.com,8020001 福岡県北九州市小倉北区浅野２丁目１４－１ＫＭＭビル５１６,代表者名 二宮 二郎,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.hoocome.com,B,VERIFIED,2026-08-26
株式会社ＦａＬｉｃｓ,http://falics.com,7330821 広島県広島市西区庚午北３丁目７－１７ ２Ｆ,082-942-5523,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,http://falics.com,B,VERIFIED,2026-08-26
キューアンドエー株式会社,https://www.qac.jp,9800811 宮城県仙台市青葉区一番町１丁目９番１号,代表者名 代表取締役 野村 勇人,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.qac.jp,B,VERIFIED,2026-08-26
株式会社フォーサイトファイブ,https://f5-gs-group.com/company,1060032 東京都港区六本木３丁目１３番１２号エルサビル４０３号室,代表者名 長 英太郎,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://f5-gs-group.com/company,B,VERIFIED,2026-08-26
株式会社Ｍｉｃｈｔａｌｅ,https://michtale.co.jp,1240024 東京都葛飾区新小岩３丁目１１番１０号,代表者名 代表取締役 青木 幹洋,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://michtale.co.jp,B,VERIFIED,2026-08-26
株式会社Ｅ‐ａｃｈ　Ａｄｖａｎｃｅ,https://www.e-achadvance.com,1050001 東京都港区虎ノ門４丁目３番１号城山トラストタワー２７階,-,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.e-achadvance.com,B,VERIFIED,2026-08-26
株式会社ＨＲエイド,http://hraid.co.jp,6510084 兵庫県神戸市中央区磯辺通４丁目２番２６号新芙蓉ビル８階,代表者名 代表取締役 田中 豊,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,http://hraid.co.jp,B,VERIFIED,2026-08-26
株式会社Ｅｎｊｏｉｎｔ,https://en-joint.co.jp,1400002 東京都品川区東品川２丁目２番４号天王洲ファーストタワー１７階１７０７号室,代表者名 代表取締役 福島 ゆうじ,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://en-joint.co.jp,B,VERIFIED,2026-08-26
株式会社ＧＲコンサルティング,http://www.gr-consulting.co.jp,1400002 東京都品川区東品川２丁目２番４号天王洲ファーストタワー,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,http://www.gr-consulting.co.jp,B,VERIFIED,2026-08-26
株式会社ＣＲＥＳＴ,https://crest-ysr.com,2720135 千葉県市川市日之出２１番１－店舗４（ソフトタウン行徳Ｃ棟）,代表者名 代表取締役 五十嵐 龍也,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://crest-ysr.com,B,VERIFIED,2026-08-26
株式会社侍パートナーズ,http://samurai-partners.co.jp,4660015 愛知県名古屋市昭和区御器所通３丁目１５番地２ごきそビル４Ｆ,代表者名 代表取締役 山本 政志,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,http://samurai-partners.co.jp,B,VERIFIED,2026-08-26
ＤＩＶＥ　ＩＮ株式会社,https://divein.co.jp,1070051 東京都港区元赤坂１丁目５－７ラ・ベリテＡＫＡＳＡＫＡ８階,代表者名 代表取締役 打木 翔太,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://divein.co.jp,B,VERIFIED,2026-08-26
株式会社Ｃｒｅａｔｅｕｒ,https://crea-teur.co.jp,1050003 東京都,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://crea-teur.co.jp,B,VERIFIED,2026-08-26
株式会社ＡＣＥ,http://ace-company.tokyo,1600023 東京都新宿区西新宿１丁目３番３号品川ステーションビル新宿６階,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,http://ace-company.tokyo,B,VERIFIED,2026-08-26
株式会社日本通信サービス,https://www.ncs-co.jp,1070052 東京都港区赤坂９丁目６番１４号坂倉ビルＢ１,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.ncs-co.jp,B,VERIFIED,2026-08-26
ＥａｒｔｈＮｅｃｔｏ株式会社,https://earthnecto.co.jp/company,1080071 東京都港区白金台４丁目１３番４号,03-5784-2440,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://earthnecto.co.jp/company,B,VERIFIED,2026-08-26
株式会社Ｍａｒｔｉａｌ　Ａｒｔｓ,https://www.martial-arts.jp,1070052 東京都港区赤坂２丁目１２番１７号ＭａｒｔｉａｌＡｒｔｓタワー,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.martial-arts.jp,B,VERIFIED,2026-08-26
株式会社ＤｉｇｉＭａｎ,https://digi-man.co.jp,1410031 東京都,代表者名 安達 昭典,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://digi-man.co.jp,B,VERIFIED,2026-08-26
株式会社Ｓｕｒｐａｓｓ,https://surpass-star.com,1410031 東京都品川区西五反田７丁目２０番９号,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://surpass-star.com,B,VERIFIED,2026-08-26
株式会社アスレバ,https://asulever.com,1030027 東京都,代表者名 代表取締役 松尾遼,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://asulever.com,B,VERIFIED,2026-08-26
株式会社ダイブ,https://www.dive-ec.com,1070052 東京都,-,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.dive-ec.com,B,VERIFIED,2026-08-26
ハロラボ合同会社,https://harolabo.com,1500002 東京都,代表者名 平野陽介,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://harolabo.com,B,VERIFIED,2026-08-26
有限会社オール,https://www.oaroar.com,1110036 東京都台東区松が谷３丁目５番８号,代表者名 代表取締役 小林 由明,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.oaroar.com,B,VERIFIED,2026-08-26
株式会社ウラカン,https://www.huracan.co.jp,1040061 東京都,-,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.huracan.co.jp,B,VERIFIED,2026-08-26
Ｂｉｔｔｅｒｓ　Ｃｌｕｂ株式会社,https://www.bitters-club.com,4200945 静岡県静岡市葵区桜町１丁目２－４０,代表者名 杉山 燿平,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.bitters-club.com,B,VERIFIED,2026-08-26
株式会社ブレイクフリー,http://breakfree.co.jp/company/index.html,1500013 東京都渋谷区恵比寿１丁目７番４号５０３,03-3444-2400,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,http://breakfree.co.jp/company/index.html,B,VERIFIED,2026-08-26
ルーツアルファ株式会社,https://roots-alpha.com/company,1360071 東京都江東区亀戸２丁目２４番１号ポゾビアンカＩＩ３０１号室,03-5875-5522,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://roots-alpha.com/company,B,VERIFIED,2026-08-26
株式会社Ｇｌｏｗｋｅｙ,https://glowkey.co.jp/company,1540015 東京都世田谷区桜新町１丁目７番６号,03-4500-2252,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://glowkey.co.jp/company,B,VERIFIED,2026-08-26
株式会社ＣＯＬＯＲＳ,https://colors-office.com/aboutus,1060032 東京都,代表者名,,手動送信要,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://colors-office.com/aboutus,B,VERIFIED,2026-08-26
株式会社レノアス,https://renoastokyo.co.jp,1700013 東京都,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://renoastokyo.co.jp,B,VERIFIED,2026-08-26
Ｌｉｍｉｔｌｅｓｓ株式会社,https://limitless-jp.co.jp/company/company2,1690075 東京都新宿区高田馬場４丁目２８番２０号,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://limitless-jp.co.jp/company/company2,B,VERIFIED,2026-08-26
株式会社ＲｅＱｕｅｓｔ,https://re-quest.co.jp/company,1500021 東京都渋谷区恵比寿西１丁目３２番１６号ＣＯＭ－ＢＯＸ３階,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://re-quest.co.jp/company,B,VERIFIED,2026-08-26
株式会社シーコムネット,https://www.sea-com.net,3191225 茨城県日立市石名坂町１丁目３５番１１号,代表者名 河野嘉樹,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.sea-com.net,B,VERIFIED,2026-08-26
株式会社アーリークロス,https://www.early-cross.com,8100003 福岡県福岡市中央区春吉３丁目２１番１８号,代表者名 花城 正也,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://www.early-cross.com,B,VERIFIED,2026-08-26
株式会社スイミー,https://swimmy-japan.net,7300053 広島県広島市中区東千田町１丁目１番６１号ｈｉｔｏｔｏ広島ナレッジスクエア１Ｆ,代表者名,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://swimmy-japan.net,B,VERIFIED,2026-08-26
株式会社エースリー,https://a-thily.co.jp,6008233 京都府京都市下京区北不動堂町４８０、５Ｆ,代表者名 代表取締役 新家 悠介,,,ADD_ON_HUB,営業代行・営業支援の提供実態があり、複数顧客へ追加商材を提案できる構造,https://a-thily.co.jp,B,VERIFIED,2026-08-26
